# field rbandarea 4bandarea 9bandarea NIRonly AWonly uonly gonly ronly ionly 9noAWr
KIDS_129p0_0p5 2645.77475061 2077.13054263 2072.10916381 3570.00687793 2331.43676472 3386.6603758 2896.02920971 2394.0721202 2714.68721125 2348.72946178
KIDS_129p0_1p5 2864.21055552 2290.79931462 2279.27211778 3549.3656409 2491.96838626 3459.09049085 3049.26392548 2538.50540438 2846.15648723 2539.51589313
KIDS_129p0_m0p5 2670.6538096 2194.1065929 2171.94458519 3564.48571209 2394.60981613 3448.43519899 2963.05820805 2448.71183744 2774.98622015 2405.62264756
KIDS_129p0_m1p5 2868.67038633 2278.09696696 2267.66930666 3547.39638743 2463.40335982 3453.58291116 2988.27164145 2554.11718468 2879.10746025 2547.32428934
KIDS_129p4_2p5 2729.08925203 2285.13254294 2284.98881982 3599.27554719 2524.03964355 3506.03065371 3039.56448519 2591.42493478 2892.87097757 2502.11020319
KIDS_130p0_0p5 2987.88929573 2374.0184077 2373.76016914 3579.96773705 2516.68848225 3471.99537132 3115.5387273 2588.47794942 3005.98853669 2704.47682753
KIDS_130p0_1p5 2927.45923394 528.438970359 528.438970359 3559.1817465 595.581110266 832.425419075 3052.85800833 2617.50009626 2855.62388172 582.305485729
KIDS_130p0_m0p5 2741.29992873 2320.25815177 2320.02754347 3580.01061992 2529.49565186 3479.5705514 3102.05193231 2587.36153197 2857.66727383 2550.58721622
KIDS_130p0_m1p5 2884.28837453 2162.45168486 2162.28082762 3559.07884543 2288.50022818 3412.50225754 3015.06900587 2335.60395908 2881.94194011 2624.81491335
KIDS_130p4_2p5 2447.32692821 1973.66179377 1973.51851589 3566.95678796 2217.28226965 3464.2665075 3012.32817883 2273.97910507 2774.83592022 2228.46622546
KIDS_131p0_0p5 2935.13094181 2394.28737413 2394.07149687 3579.96773705 2533.95632226 3418.18557939 3073.87082902 2588.11528325 2935.17610176 2685.30565484
KIDS_131p0_1p5 2962.16068276 2310.38249865 2310.22031721 3559.1817465 2492.39372934 3492.52568026 3116.37428805 2556.04498004 2916.21555251 2643.12858136
KIDS_131p0_m0p5 2807.14680509 2260.97019136 2260.72860473 3580.01061992 2436.91078052 3448.7392081 3119.46107843 2512.5059335 2953.23958367 2637.63499489
KIDS_131p0_m1p5 2847.25962384 2241.85247278 2241.55586735 3559.07884543 2421.04864875 3455.17592504 3032.56573683 2465.88098707 2878.84774604 2579.48084168
KIDS_131p4_2p5 2738.83553145 2403.47159668 2403.27476293 3566.95765299 2601.21174366 3475.28666629 3135.93823777 2668.92610459 2873.11086832 2501.93952404
KIDS_132p0_0p5 2909.9437775 2424.86462594 2424.61498686 3579.96773705 2560.65245207 3423.55222189 3048.06419747 2628.47569299 2894.9432466 2666.75805832
KIDS_132p0_1p5 2907.36523368 2313.11312336 2312.95989757 3559.1817465 2448.87648678 3426.00384718 3073.12549911 2500.31482187 2927.36614085 2704.45731334
KIDS_132p0_m0p5 2797.32349934 2089.69819916 2089.52584082 3580.01061992 2249.58917281 3504.32849269 2985.52361427 2303.14319408 2827.13197624 2522.6910531
KIDS_132p0_m1p5 2987.07458488 2408.35427723 2408.12266395 3559.07884543 2537.25798492 3373.31291515 3070.31989617 2669.33011437 2923.15205647 2649.76416744
KIDS_132p4_2p5 2538.37731551 2124.05732287 2123.92367488 3566.95200482 2318.67451335 3371.95754434 2889.41351945 2373.91925936 2743.45540655 2367.86455739
KIDS_133p0_0p5 2734.45336303 2078.60837957 2078.39610238 3579.96773705 2264.7266592 3482.3607109 3021.29073603 2360.54360873 2771.61782253 2475.57577143
KIDS_133p0_1p5 2886.21325676 2409.2219079 2409.06102401 3559.1817465 2559.57405802 3406.09794127 3057.46199477 2609.46649822 2960.38730897 2730.65140449
KIDS_133p0_m0p5 2714.92635542 2129.19688082 2129.0190524 3580.01061992 2310.87607777 3445.1942033 2904.59393959 2365.81531357 2818.6545259 2455.07459384
KIDS_133p0_m1p5 2805.09724324 2334.1293533 2333.94996019 3559.07884543 2507.35533364 3480.42343831 3103.19016647 2546.01584672 2941.36143682 2597.38492807
KIDS_133p4_2p5 2695.79400757 2170.78683685 2170.63237711 3566.9513306 2346.64316137 3439.86591495 2920.53697763 2395.93599199 2752.89632841 2483.32524345
KIDS_134p0_0p5 2690.21602925 2328.18332779 2327.90444286 3579.96773705 2587.66568102 3502.63363359 2992.30830449 2632.35845602 2846.75329816 2503.83638167
KIDS_134p0_1p5 2754.58611179 2418.70319385 2418.57642798 3559.1817465 2588.51426819 3431.09185918 3086.16536329 2699.17296371 2760.07220553 2522.00571595
KIDS_134p0_m0p5 2885.23697508 2517.61230207 2517.38229166 3580.01061992 2702.39929196 3442.40843258 3077.93592374 2765.93598906 2970.40035009 2697.96309698
KIDS_134p0_m1p5 2969.36530959 2494.31828082 2494.09166694 3559.07884543 2645.7111705 3471.38746758 3127.14588904 2689.85992718 2987.97609188 2761.0378142
KIDS_134p4_2p5 2591.32780909 2319.42116626 2319.25395997 3566.95285713 2616.26820929 3435.08920126 3066.85103994 2693.52348002 2908.51000649 2468.99659076
KIDS_135p0_0p5 2900.21530764 2467.56395193 2467.38417718 3579.96773705 2643.76246162 3486.57905685 3185.04368642 2689.92645859 2947.8137244 2703.07843393
KIDS_135p0_1p5 2735.96949051 2366.41388002 2366.27149262 3559.1817465 2591.30894369 3442.83979274 3010.55022543 2642.68706975 2895.0330322 2566.47389974
KIDS_135p0_m0p5 2832.2151415 2316.3634309 2315.83809989 3579.65531928 2470.513596 3376.84560592 3069.6059238 2518.56901869 2949.20496873 2650.84248516
KIDS_135p0_m1p5 2884.24531357 2301.41005716 2301.22976085 3559.07884543 2439.32017172 3436.14827194 3010.99075752 2487.52046242 2830.81154496 2583.70863942
KIDS_135p4_2p5 2833.01499409 2444.33064854 2444.13558302 3566.95420557 2627.9858666 3332.45442302 3065.90251572 2680.46127757 2990.75337761 2705.64125445
KIDS_136p0_0p5 3022.41147865 2507.79721416 2507.49992179 3579.96773705 2646.41673421 3475.48746903 3235.85368765 2749.94902502 3045.64029149 2790.11004406
KIDS_136p0_1p5 2714.99450241 2384.71057807 2384.53390728 3559.1817465 2594.33315892 3461.42519641 3043.45821382 2609.99308862 2839.5319558 2570.4391719
KIDS_136p0_m0p5 2875.85451944 2409.66972918 2409.2857806 3579.77137398 2647.33584722 3521.88239233 3119.58191626 2712.85663061 3051.31576441 2702.68317628
KIDS_136p0_m1p5 2901.71646238 2377.42872138 2377.16374063 3559.07884543 2576.42403497 3468.51197486 3124.37774978 2672.31902851 2978.1511451 2695.64503064
KIDS_136p4_2p5 2865.45380245 2550.43138261 2550.2638583 3566.95660986 2708.20042401 3418.21563937 3144.36911611 2763.50132101 3062.82091556 2701.69543287
KIDS_137p0_0p5 2969.61445255 2427.57782272 2427.32874337 3579.96773705 2569.82266868 3472.63075267 3216.04261763 2668.19759199 2885.89209959 2682.31217382
KIDS_137p0_1p5 2919.21676797 2558.77646978 2558.60132552 3559.1817465 2744.23083461 3500.00713118 3098.96685929 2796.74992987 3010.26335165 2723.11142373
KIDS_137p0_m0p5 3027.66953375 2567.86398645 2567.64935586 3580.01061992 2746.30381602 3462.21783613 3227.24242395 2784.03814315 3107.80285414 2856.66865387
KIDS_137p0_m1p5 2828.92187476 2402.12759856 2401.92822058 3559.07884543 2562.59342651 3422.81611478 3085.76487726 2610.92143716 2918.51228555 2668.22893681
KIDS_137p4_2p5 2979.46372209 2567.07797443 2566.91647992 3566.95346775 2752.74562141 3469.4174254 3285.82502419 2811.39367177 3032.62799395 2738.34321172
KIDS_138p0_0p5 3038.24054826 2561.43935457 2561.15664059 3579.96773705 2708.6481308 3492.03173223 3186.02055327 2753.2555726 3097.49426344 2849.5328101
KIDS_138p0_1p5 2738.75570647 2390.03449036 2389.88873187 3559.1817465 2622.73405757 3389.24391901 3005.09673591 2662.85670974 2918.22215517 2564.89269105
KIDS_138p0_m0p5 2902.1066443 2531.20913467 2530.96192531 3580.01061992 2686.54490734 3512.62849625 3088.59088486 2726.83926907 2978.20191506 2736.25361653
KIDS_138p0_m1p5 2935.60800893 2492.30270978 2492.00752912 3559.07884543 2666.51208291 3431.63849805 3142.2739618 2703.93180423 3079.31080873 2789.18541009
KIDS_138p4_2p5 2779.92945318 2164.82707253 2164.70642551 3566.95143237 2332.28184086 3118.73874829 2974.34909752 2675.23938859 2951.19522476 2369.60888889
KIDS_139p0_0p5 2943.62859327 2524.70905387 2524.43034704 3579.96378079 2728.41831518 3453.37464113 3207.31836502 2786.33189945 3012.3635308 2732.07363746
KIDS_139p0_1p5 2870.40833183 2500.69221908 2500.52325728 3559.1817465 2670.7710092 3423.4348442 3145.98006676 2724.26954099 2988.18536688 2684.65229857
KIDS_139p0_m0p5 2778.94971136 2394.50775466 2394.27479295 3580.00358514 2645.08033059 3458.0768091 3101.37090762 2677.96217709 2929.02300199 2612.43985445
KIDS_139p0_m1p5 2791.69961053 2472.43611211 2472.16709877 3559.07884543 2669.01357495 3403.02350309 3062.4576515 2715.54943545 2969.32852013 2630.49514397
KIDS_139p4_2p5 3058.13716775 2722.24984831 2722.11776501 3566.95309883 2877.99110641 3517.75449349 3217.61829264 2915.39822111 3178.67108388 2923.48775388
KIDS_140p0_0p5 2646.47096431 2252.33067406 2252.01596649 3579.96773705 2473.23260633 3223.92993562 2933.45419757 2529.74985783 2848.63173562 2503.42520991
KIDS_140p0_1p5 2800.65785526 2539.04457596 2538.94493149 3559.17413928 2781.07548538 3473.71581258 3169.16677272 2818.1638472 3107.06805731 2688.95550705
KIDS_140p0_m0p5 2755.66385706 2379.49763204 2379.2551931 3580.01061992 2584.04623227 3510.06220286 3077.62561767 2645.14801962 2910.98933836 2602.58989797
KIDS_140p0_m1p5 3116.93237592 2600.65716681 2600.42714368 3559.07884543 2724.62884877 3489.54156197 3278.07637904 2749.23295367 3118.30981786 2913.93785026
KIDS_140p4_2p5 2911.05518283 2543.78614121 2543.65805234 3566.95219564 2712.36629538 3519.76376757 3213.97225677 2754.56485481 3087.67025803 2784.64913813
KIDS_141p0_0p5 3072.42035519 2595.09227851 2594.79831907 3615.81883086 2758.12892857 3535.25614752 3327.29753892 2788.98255925 3154.69210711 2924.44784159
KIDS_141p0_1p5 2870.43065738 2605.17761371 2605.13925956 3595.39282232 2884.69358009 3390.76498229 3221.23080838 2927.23722511 3060.63589932 2727.68687672
KIDS_141p0_m0p5 2867.23083993 2468.55049955 2468.41541407 3615.86409258 2738.49811669 3445.46632059 3161.72669084 2775.6009933 3062.28823174 2702.25455115
KIDS_141p0_m1p5 3018.17015838 2586.67401951 2586.52154427 3595.28984493 2785.9588147 3491.85694416 3177.45360992 2839.85285855 3083.65786688 2814.87840395
KIDS_141p4_2p5 2892.95400826 2513.64775501 1949.72460585 2730.82891488 2760.43063556 3489.79555168 3235.76009844 2783.48188712 3127.86290176 2123.93488218
KIDS_150p1_2p2 2957.71128327 2681.5761812 0.0 0.0 2877.35717527 3536.57639534 3313.4159188 2906.34699777 3147.72913052 0.0
KIDS_156p0_0p5 3135.08369711 2875.35564834 0.0 0.0 3031.00923254 3568.40326736 3340.26414222 3053.39323637 3208.2548169 0.0
KIDS_156p0_1p5 3159.00171431 2847.09466919 0.0 0.0 3031.23237355 3469.8278975 3356.65127425 3061.43664239 3320.53789657 0.0
KIDS_156p0_m0p5 2899.16099465 2538.11028666 0.0 0.0 2820.95305262 3453.79515018 3257.31523282 2882.69603486 3146.69741023 0.0
KIDS_156p0_m1p5 3008.33774432 2781.71570075 0.0 0.0 2985.47715677 3579.75173258 3304.2494422 3008.12896544 3197.04530438 0.0
