# field rbandarea 4bandarea 9bandarea NIRonly AWonly uonly gonly ronly ionly 9noAWr
KIDS_0p0_m28p2 2752.97320209 2574.55947624 2574.38010857 3541.88609814 2802.54981526 3457.62392482 3185.76132247 2816.68071827 3034.40433177 2698.72715236
KIDS_0p0_m29p2 2925.70126541 2604.44059069 2604.18876357 3541.0369258 2846.75437946 3439.99974104 3274.06735898 2875.90929654 3194.62240336 2849.55611517
KIDS_0p0_m30p2 2907.77112618 2661.77986767 2661.61726643 3540.33338474 2905.48083003 3429.72697299 3249.80330211 2957.70499904 3114.34761148 2801.1887454
KIDS_0p0_m31p2 3203.13551097 2846.03136238 2845.80609694 3549.72058535 2972.19103732 3521.395072 3392.66448591 2998.99384637 3227.41487133 3047.38434312
KIDS_0p0_m32p1 3051.63126069 2674.09065952 2673.84169465 3546.0090612 2874.88468736 3447.25135965 3319.72683668 2906.57175437 3195.03332069 2904.78714783
KIDS_0p0_m33p1 3062.71395645 2805.5322162 2805.23877832 3542.00763564 2982.70595172 3488.86596919 3285.53040325 3000.77379698 3217.02725709 2988.43290698
KIDS_0p0_m34p1 3141.501943 2887.59886565 2887.37865049 3536.53263471 3027.99714053 3478.87436314 3262.89958442 3050.34819668 3216.29560237 3023.96693982
KIDS_0p0_m35p1 3056.57049929 2817.83078306 2817.55273773 3541.29971852 2978.53014517 3525.74308424 3274.13297447 2998.09644829 3159.10050646 2950.82105871
KIDS_10p3_m29p2 3207.0601519 2920.56077882 2920.27125905 3541.25446952 3065.02748136 3500.04836031 3362.19121645 3078.85632158 3299.06149314 3119.53310536
KIDS_10p5_m31p2 3163.65184022 2965.39374048 2965.12650809 3549.69178475 3098.3544141 3477.4688966 3284.94245893 3116.62111577 3224.40288109 3055.5472767
KIDS_10p6_m32p1 3265.90615547 2986.77974769 2986.50517522 3546.54852536 3080.12240291 3472.51277708 3380.00644588 3101.22070946 3276.15269259 3145.94503282
KIDS_10p7_m33p1 3103.11382708 2851.96724917 2851.75792328 3542.09005572 3005.66740496 3461.34759763 3370.99926303 3039.42041861 3225.44334078 3016.99601253
KIDS_10p8_m34p1 3090.64180786 2609.9593904 2609.740053 3536.6639293 2772.82183755 3194.69231859 3290.65422518 3076.13862153 3197.01179697 2709.72058409
KIDS_11p3_m28p2 2968.75351318 2774.95056288 2774.70331536 3541.24069256 2941.47508722 3465.40004757 3210.43036864 2956.93744535 3146.65652458 2916.71923219
KIDS_11p4_m29p2 3176.8984479 3080.64297622 3080.39425305 3541.25206523 3249.05164981 3502.4668471 3351.80989916 3273.77137688 3294.19613876 3105.2194127
KIDS_11p5_m30p2 3039.21796212 2886.68823762 2886.44439935 3540.19786674 3090.62551212 3422.57281081 3296.39418141 3108.34416287 3228.49563151 2991.002775
KIDS_11p7_m31p2 2966.10885775 2633.09654762 2632.8550246 3549.69406183 2894.10196135 3222.85002776 3256.34803401 3103.72137463 3195.29383633 2715.17259797
KIDS_11p9_m33p1 2953.8761608 2775.04675992 2774.79862192 3542.09042463 2939.18538896 3497.55822821 3111.42683161 3078.34027698 3196.53091352 2845.10760616
KIDS_12p0_m34p1 3116.5168281 2991.620474 2991.35101542 3536.6639293 3185.19899846 3493.92691067 3314.17352459 3203.97242016 3249.11924979 3027.50148787
KIDS_12p4_m28p2 3255.85113468 3048.3929746 3048.14283938 3541.24083249 3182.63056793 3495.9840543 3413.88351581 3200.6520829 3329.83461191 3167.9956036
KIDS_12p5_m29p2 3197.93940769 3016.79845367 3016.55596385 3541.25312109 3174.70515022 3517.6198278 3385.86234232 3206.38613654 3259.66945256 3063.14833152
KIDS_12p7_m30p2 3295.38324742 2966.39074486 2966.16037825 3540.20156858 3077.42448418 3446.18125977 3406.23975622 3238.43690012 3276.99056858 3073.93031294
KIDS_12p8_m31p2 3098.93685019 2973.66348051 2973.40999965 3549.69184836 3224.2747795 3482.76307965 3353.30541844 3242.17245445 3326.59172078 3023.13842656
KIDS_12p9_m32p1 2987.5614727 2739.96038299 2739.78090083 3546.55040809 2933.1964933 3442.8903846 3243.67896478 2957.3892865 3122.46492716 2886.25972698
KIDS_13p1_m33p1 3331.12149225 3088.96748064 3088.67732481 3542.09095892 3194.96047961 3524.69357983 3461.67966952 3216.76382832 3364.37249269 3223.70857556
KIDS_13p2_m34p1 3126.08713639 2951.22190093 2950.97050633 3536.6639293 3153.71959088 3498.81755463 3338.05954819 3177.47014736 3293.19834567 3056.55449613
KIDS_13p5_m28p2 3179.5451896 2880.8736339 2880.67930621 3541.2432495 3009.34590511 3410.55242921 3355.51125914 3112.03549862 3261.71948509 3005.66414836
KIDS_13p7_m29p2 3201.95494096 2977.10361247 2976.85257406 3541.25296843 3123.86562328 3526.66430895 3353.19562253 3140.68878413 3278.96770914 3095.59042193
KIDS_13p8_m30p2 3259.56048352 3082.43693278 3082.22506267 3540.2361064 3195.33739342 3480.21294208 3365.37911422 3214.96909577 3322.99574248 3174.80707176
KIDS_14p0_m31p2 3226.62599706 2814.29023064 2814.04562912 3549.68935502 2979.72358895 3459.25344829 3367.02578575 3072.16046288 3312.86191441 2995.74637563
KIDS_14p1_m32p1 3122.09532799 2872.6864666 2872.42353395 3546.54843632 3051.73021821 3517.43379427 3360.59741386 3071.65532028 3266.91650429 3040.30490475
KIDS_14p3_m33p1 3249.65068694 2931.07632929 2930.87861777 3542.09176035 3134.70054996 3338.05563009 3300.16564744 3332.67859444 3413.31228703 2985.67513543
KIDS_14p4_m34p1 2613.27780677 2453.56059078 2453.39608137 3536.6639293 3068.5946209 3488.83515866 3265.30590983 3087.78178402 3217.50931088 2561.11864263
KIDS_14p7_m28p2 3158.37546672 3035.83791197 3035.54849396 3541.24232086 3183.50879529 3503.26285792 3415.22572026 3224.09660762 3290.05144804 3097.51750491
KIDS_14p8_m29p2 3009.29736135 2603.33005039 2603.09322146 3541.25170904 2760.54749169 3242.24594431 3221.87247396 3022.39969891 3184.76102332 2733.26185286
KIDS_15p0_m30p2 3175.31365186 2814.75256671 2814.52109337 3540.20172124 2967.6270715 3306.40179062 3324.65953663 3137.11583104 3280.04588693 2945.39410542
KIDS_15p1_m31p2 3033.8668521 2582.98325621 2582.74418836 3549.69463428 2759.47648861 3241.65431087 3189.18827536 3016.4652496 3182.55954597 2719.97621681
KIDS_15p3_m32p1 3223.14632788 2864.92275966 2864.6596998 3546.54837271 2996.40095314 3422.66370315 3390.77638041 3098.13558555 3249.42006591 3004.8823979
KIDS_15p4_m33p1 2645.69986143 2517.50870134 2517.34545132 3542.09211654 3039.47469959 3493.25247551 3253.63501532 3056.03031002 3180.95037627 2603.9574556
KIDS_15p6_m34p1 2778.97928794 2592.5366327 2592.28532714 3536.6639293 2979.70847627 3483.16506677 3321.39574471 2998.78518198 3217.72845746 2727.74451607
KIDS_15p8_m28p2 3175.76997084 2935.37204503 2935.165645 3541.24098515 3061.29020968 3477.35248571 3393.17364839 3085.67121172 3273.63435779 3067.28742494
KIDS_15p9_m29p2 3149.79341069 2746.80355216 2746.56556561 3541.25480027 2934.87987796 3413.92173003 3394.10899354 3041.15097315 3253.17537613 2938.24289455
KIDS_16p1_m30p2 3097.56836392 2972.17659886 2971.91355172 3540.19829926 3152.87489636 3428.99290126 3268.1276813 3178.50983107 3252.85176378 3033.00394095
KIDS_16p3_m31p2 3268.57883551 2871.18158458 2818.49862868 3480.25545603 2989.78738731 3347.67147995 3428.90690655 3173.53904411 3359.20825579 2964.03638518
KIDS_16p5_m32p1 3103.23926996 2953.80884068 2953.58005149 3546.54930135 3106.31373358 3472.65273475 3328.94157718 3126.2431481 3216.96608126 3028.74378071
KIDS_16p6_m33p1 3101.50764685 2867.17742398 2866.90239356 3542.09123878 3025.46254815 3495.56720892 3284.70328932 3065.7164313 3206.83903354 2997.72693817
KIDS_16p8_m34p1 3137.85775169 2869.60594773 2869.39574409 3536.6639293 3001.50476476 3411.53283254 3314.84653498 3067.21908713 3248.15747017 2989.97929799
KIDS_16p9_m28p2 3172.75514379 3006.9322905 3006.67220738 3541.2422827 3184.15726666 3527.85982627 3344.0870397 3203.14895718 3308.70450258 3093.27947941
KIDS_17p1_m29p2 3154.97801409 3000.8639515 3000.59786401 3541.25198891 3161.67702762 3407.12800782 3347.87209188 3175.18070352 3278.61600858 3086.27722002
KIDS_17p3_m30p2 3217.60660194 2950.00404534 1491.48334817 1687.62856037 3134.19016626 3530.40510438 3427.06206554 3147.50981856 3388.77433191 1562.90226209
KIDS_17p5_m31p2 3204.79228306 3040.28573404 2460.28792151 2874.9335237 3187.18171087 3537.65369537 3379.16166232 3210.03679017 3343.36342473 2561.8408074
KIDS_17p6_m32p1 3072.61792677 2909.34808602 2909.1106592 3546.55120952 3116.84606318 3427.81967133 3307.86961605 3136.87114046 3258.47808232 3012.44285965
KIDS_17p8_m33p1 3153.61726226 2982.10487922 2981.88098766 3542.09116246 3114.54903756 3489.01172768 3279.05967006 3133.88983354 3265.46483468 3098.00539769
KIDS_18p0_m34p1 3013.82035247 2684.93912146 2684.68205325 3536.6639293 2834.87750472 3265.56414839 3292.20531028 2990.45322299 3197.06126937 2760.20580264
KIDS_18p1_m28p2 3264.11055789 3129.16853302 3128.94445064 3541.24375835 3276.29318454 3496.51196769 3427.26349162 3288.69843064 3388.86206942 3196.98461196
KIDS_18p2_m29p2 3150.75302772 2923.39272718 2923.14611572 3541.25229421 3104.55358973 3492.65289137 3315.71940675 3129.10960883 3220.41767495 3003.10767567
KIDS_18p4_m30p2 3033.2989308 2819.25665426 2081.83262155 2675.22648938 2991.96394401 3451.5560565 3261.17369853 3037.83036874 3145.07931031 2193.76898733
KIDS_18p6_m31p2 2989.2236131 2788.62398928 2726.79498688 3390.71876649 2977.8722093 3445.66438829 3236.73825013 3004.74763045 3148.34278421 2825.93575926
KIDS_18p8_m32p1 3162.61995456 3025.78719091 3025.51517539 3546.54893244 3302.1645411 3532.55922104 3438.55121354 3328.85517539 3432.33772666 3113.73807944
KIDS_19p0_m33p1 3126.95649714 2930.23494226 2929.96815512 3542.09064089 3075.42228303 3448.58151721 3330.41610663 3097.39894416 3252.24316037 3065.8785237
KIDS_19p2_m28p2 3199.5614257 3060.07101837 3059.79201896 3541.24181202 3183.48213184 3502.5707913 3333.21337724 3199.47281044 3287.55005776 3141.13918779
KIDS_19p2_m34p1 3176.85463639 3021.2181112 3020.93880648 3536.64868941 3193.65792686 3430.21436964 3349.56285478 3213.97210412 3334.0016409 3124.36599547
KIDS_19p4_m29p2 3182.12831301 2804.65596061 2804.39676797 3541.25270129 2946.22665127 3278.69465049 3316.13106191 3147.33721852 3287.70311818 2921.3322379
KIDS_19p6_m30p2 3016.49843898 2848.29340495 2848.05275968 3540.19963498 3014.72268633 3519.67513959 3275.88487503 3030.2345423 3171.76517419 2974.3762571
KIDS_19p8_m31p2 3128.75523683 2964.3534716 2964.10418871 3549.6916321 3138.41413494 3490.40030059 3344.90827648 3150.06167349 3291.28310604 3085.36143994
KIDS_1p1_m28p2 3241.93902206 3086.46846921 3086.19565225 3541.23153336 3212.09563843 3475.51492119 3376.35623749 3233.16102275 3317.54175683 3166.16532827
KIDS_1p1_m29p2 2957.27273568 2697.61657391 2697.3474588 3541.25418966 2926.85122843 3374.06963045 3209.95023573 2988.50675303 3204.73287547 2872.35784214
KIDS_1p2_m30p2 2665.44593929 2182.68189006 2182.45623027 3540.20140321 2420.37322134 3257.74281481 3024.95135029 2493.16101588 2928.4049468 2469.73783719
KIDS_1p2_m31p2 3080.12624468 2777.12589835 2776.82816074 3549.69300598 2944.73170444 3360.96093234 3349.47140271 3028.51781561 3234.12827245 2906.78904367
KIDS_1p2_m32p1 3029.25312129 2632.55437386 2632.30937798 3546.54883067 2748.73820421 3310.7654371 3245.19725485 2910.71541467 3063.36385259 2781.07808049
KIDS_1p2_m33p1 3019.24324772 2765.25928954 2764.97554515 3542.09088259 2929.51502913 3523.38357251 3207.89321931 2968.03293855 3125.00951833 2914.01309563
KIDS_1p2_m34p1 3128.81267265 2889.96627718 2889.69398179 3536.6639293 3051.40511749 3495.19381886 3296.15345982 3072.23280784 3268.38967258 3047.99947246
KIDS_1p2_m35p1 3045.93689692 2701.54022259 2701.29666419 3541.99211588 2840.24706035 3464.51927598 3236.10964914 2859.18342676 3139.03796551 2930.45874477
KIDS_20p0_m32p1 3254.89714038 2996.92496115 2996.69327155 3546.5484236 3091.01938317 3535.12018428 3416.98520261 3104.98552235 3316.48680779 3171.83909657
KIDS_20p2_m33p1 3101.78927953 2853.04022402 2852.82331635 3542.0902847 3021.88795404 3501.0095802 3278.2329632 3078.83207514 3158.7131359 2954.89331542
KIDS_20p3_m28p2 3168.02141474 2919.38611141 2919.10034436 3541.24151943 3070.00531581 3527.16943884 3307.37087216 3095.89864173 3208.3273654 3025.74462607
KIDS_20p4_m34p1 3167.49126243 3004.31749151 3004.02217091 3536.6639293 3205.42454774 3511.94538529 3361.58270209 3224.39167379 3332.87420697 3098.68078694
KIDS_20p5_m29p2 3135.15236567 2915.59983801 2915.33802481 3541.25257408 3080.48604859 3462.7451898 3336.62342377 3108.54756072 3277.14222967 3048.67082911
KIDS_20p7_m30p2 3268.82894528 3131.5683325 3131.30796951 3540.1990498 3259.39962507 3502.75298306 3372.32794494 3273.91146176 3384.68014401 3217.59466954
KIDS_21p0_m31p2 2943.71103879 2821.64140467 2821.39628158 3549.69222999 3050.08877506 3469.67974743 3230.49364741 3072.39512922 3175.86148651 2889.78084154
KIDS_21p2_m32p1 3032.14597832 2846.48363605 2846.29112747 3546.54883067 3018.46016155 3424.19189025 3307.80087116 3056.92136026 3192.24202901 2956.27693981
