# field rbandarea 4bandarea 9bandarea NIRonly AWonly uonly gonly ronly ionly 9noAWr
KIDS_0p0_m28p2 2752.97320209 2574.55947624 2574.38010857 3541.88609814 2802.54981526 3457.62392482 3185.76132247 2816.68071827 3034.40433177 2698.72715236
KIDS_0p0_m29p2 2925.70126541 2604.44059069 2604.18876357 3541.0369258 2846.75437946 3439.99974104 3274.06735898 2875.90929654 3194.62240336 2849.55611517
KIDS_0p0_m30p2 2907.77112618 2661.77986767 2661.61726643 3540.33338474 2905.48083003 3429.72697299 3249.80330211 2957.70499904 3114.34761148 2801.1887454
KIDS_0p0_m31p2 3203.13551097 2846.03136238 2845.80609694 3549.72058535 2972.19103732 3521.395072 3392.66448591 2998.99384637 3227.41487133 3047.38434312
KIDS_0p0_m32p1 3051.63126069 2674.09065952 2673.84169465 3546.0090612 2874.88468736 3447.25135965 3319.72683668 2906.57175437 3195.03332069 2904.78714783
KIDS_0p0_m33p1 3062.71395645 2805.5322162 2805.23877832 3542.00763564 2982.70595172 3488.86596919 3285.53040325 3000.77379698 3217.02725709 2988.43290698
KIDS_0p0_m34p1 3141.501943 2887.59886565 2887.37865049 3536.53263471 3027.99714053 3478.87436314 3262.89958442 3050.34819668 3216.29560237 3023.96693982
KIDS_0p0_m35p1 3056.57049929 2817.83078306 2817.55273773 3541.29971852 2978.53014517 3525.74308424 3274.13297447 2998.09644829 3159.10050646 2950.82105871
KIDS_10p3_m29p2 3207.0601519 2920.56077882 2920.27125905 3541.25446952 3065.02748136 3500.04836031 3362.19121645 3078.85632158 3299.06149314 3119.53310536
KIDS_10p5_m31p2 3163.65184022 2965.39374048 2965.12650809 3549.69178475 3098.3544141 3477.4688966 3284.94245893 3116.62111577 3224.40288109 3055.5472767
KIDS_10p6_m32p1 3265.90615547 2986.77974769 2986.50517522 3546.54852536 3080.12240291 3472.51277708 3380.00644588 3101.22070946 3276.15269259 3145.94503282
KIDS_10p7_m33p1 3103.11382708 2851.96724917 2851.75792328 3542.09005572 3005.66740496 3461.34759763 3370.99926303 3039.42041861 3225.44334078 3016.99601253
KIDS_10p8_m34p1 3090.64180786 2609.9593904 2609.740053 3536.6639293 2772.82183755 3194.69231859 3290.65422518 3076.13862153 3197.01179697 2709.72058409
KIDS_11p3_m28p2 2968.75351318 2774.95056288 2774.70331536 3541.24069256 2941.47508722 3465.40004757 3210.43036864 2956.93744535 3146.65652458 2916.71923219
KIDS_11p4_m29p2 3176.8984479 3080.64297622 3080.39425305 3541.25206523 3249.05164981 3502.4668471 3351.80989916 3273.77137688 3294.19613876 3105.2194127
KIDS_11p5_m30p2 3039.21796212 2886.68823762 2886.44439935 3540.19786674 3090.62551212 3422.57281081 3296.39418141 3108.34416287 3228.49563151 2991.002775
KIDS_11p7_m31p2 2966.10885775 2633.09654762 2632.8550246 3549.69406183 2894.10196135 3222.85002776 3256.34803401 3103.72137463 3195.29383633 2715.17259797
KIDS_11p9_m33p1 2953.8761608 2775.04675992 2774.79862192 3542.09042463 2939.18538896 3497.55822821 3111.42683161 3078.34027698 3196.53091352 2845.10760616
KIDS_129p0_0p5 2645.77475061 2077.13054263 2072.10916381 3570.00687793 2331.43676472 3386.6603758 2896.02920971 2394.0721202 2714.68721125 2348.72946178
KIDS_129p0_1p5 2864.21055552 2290.79931462 2279.27211778 3549.3656409 2491.96838626 3459.09049085 3049.26392548 2538.50540438 2846.15648723 2539.51589313
KIDS_129p0_m0p5 2670.6538096 2194.1065929 2171.94458519 3564.48571209 2394.60981613 3448.43519899 2963.05820805 2448.71183744 2774.98622015 2405.62264756
KIDS_129p0_m1p5 2868.67038633 2278.09696696 2267.66930666 3547.39638743 2463.40335982 3453.58291116 2988.27164145 2554.11718468 2879.10746025 2547.32428934
KIDS_129p4_2p5 2729.08925203 2285.13254294 2284.98881982 3599.27554719 2524.03964355 3506.03065371 3039.56448519 2591.42493478 2892.87097757 2502.11020319
KIDS_12p0_m34p1 3116.5168281 2991.620474 2991.35101542 3536.6639293 3185.19899846 3493.92691067 3314.17352459 3203.97242016 3249.11924979 3027.50148787
KIDS_12p4_m28p2 3255.85113468 3048.3929746 3048.14283938 3541.24083249 3182.63056793 3495.9840543 3413.88351581 3200.6520829 3329.83461191 3167.9956036
KIDS_12p5_m29p2 3197.93940769 3016.79845367 3016.55596385 3541.25312109 3174.70515022 3517.6198278 3385.86234232 3206.38613654 3259.66945256 3063.14833152
KIDS_12p7_m30p2 3295.38324742 2966.39074486 2966.16037825 3540.20156858 3077.42448418 3446.18125977 3406.23975622 3238.43690012 3276.99056858 3073.93031294
KIDS_12p8_m31p2 3098.93685019 2973.66348051 2973.40999965 3549.69184836 3224.2747795 3482.76307965 3353.30541844 3242.17245445 3326.59172078 3023.13842656
KIDS_12p9_m32p1 2987.5614727 2739.96038299 2739.78090083 3546.55040809 2933.1964933 3442.8903846 3243.67896478 2957.3892865 3122.46492716 2886.25972698
KIDS_130p0_0p5 2987.88929573 2374.0184077 2373.76016914 3579.96773705 2516.68848225 3471.99537132 3115.5387273 2588.47794942 3005.98853669 2704.47682753
KIDS_130p0_1p5 2927.45923394 528.438970359 528.438970359 3559.1817465 595.581110266 832.425419075 3052.85800833 2617.50009626 2855.62388172 582.305485729
KIDS_130p0_m0p5 2741.29992873 2320.25815177 2320.02754347 3580.01061992 2529.49565186 3479.5705514 3102.05193231 2587.36153197 2857.66727383 2550.58721622
KIDS_130p0_m1p5 2884.28837453 2162.45168486 2162.28082762 3559.07884543 2288.50022818 3412.50225754 3015.06900587 2335.60395908 2881.94194011 2624.81491335
KIDS_130p4_2p5 2447.32692821 1973.66179377 1973.51851589 3566.95678796 2217.28226965 3464.2665075 3012.32817883 2273.97910507 2774.83592022 2228.46622546
KIDS_131p0_0p5 2935.13094181 2394.28737413 2394.07149687 3579.96773705 2533.95632226 3418.18557939 3073.87082902 2588.11528325 2935.17610176 2685.30565484
KIDS_131p0_1p5 2962.16068276 2310.38249865 2310.22031721 3559.1817465 2492.39372934 3492.52568026 3116.37428805 2556.04498004 2916.21555251 2643.12858136
KIDS_131p0_m0p5 2807.14680509 2260.97019136 2260.72860473 3580.01061992 2436.91078052 3448.7392081 3119.46107843 2512.5059335 2953.23958367 2637.63499489
KIDS_131p0_m1p5 2847.25962384 2241.85247278 2241.55586735 3559.07884543 2421.04864875 3455.17592504 3032.56573683 2465.88098707 2878.84774604 2579.48084168
KIDS_131p4_2p5 2738.83553145 2403.47159668 2403.27476293 3566.95765299 2601.21174366 3475.28666629 3135.93823777 2668.92610459 2873.11086832 2501.93952404
KIDS_132p0_0p5 2909.9437775 2424.86462594 2424.61498686 3579.96773705 2560.65245207 3423.55222189 3048.06419747 2628.47569299 2894.9432466 2666.75805832
KIDS_132p0_1p5 2907.36523368 2313.11312336 2312.95989757 3559.1817465 2448.87648678 3426.00384718 3073.12549911 2500.31482187 2927.36614085 2704.45731334
KIDS_132p0_m0p5 2797.32349934 2089.69819916 2089.52584082 3580.01061992 2249.58917281 3504.32849269 2985.52361427 2303.14319408 2827.13197624 2522.6910531
KIDS_132p0_m1p5 2987.07458488 2408.35427723 2408.12266395 3559.07884543 2537.25798492 3373.31291515 3070.31989617 2669.33011437 2923.15205647 2649.76416744
KIDS_132p4_2p5 2538.37731551 2124.05732287 2123.92367488 3566.95200482 2318.67451335 3371.95754434 2889.41351945 2373.91925936 2743.45540655 2367.86455739
KIDS_133p0_0p5 2734.45336303 2078.60837957 2078.39610238 3579.96773705 2264.7266592 3482.3607109 3021.29073603 2360.54360873 2771.61782253 2475.57577143
KIDS_133p0_1p5 2886.21325676 2409.2219079 2409.06102401 3559.1817465 2559.57405802 3406.09794127 3057.46199477 2609.46649822 2960.38730897 2730.65140449
KIDS_133p0_m0p5 2714.92635542 2129.19688082 2129.0190524 3580.01061992 2310.87607777 3445.1942033 2904.59393959 2365.81531357 2818.6545259 2455.07459384
KIDS_133p0_m1p5 2805.09724324 2334.1293533 2333.94996019 3559.07884543 2507.35533364 3480.42343831 3103.19016647 2546.01584672 2941.36143682 2597.38492807
KIDS_133p4_2p5 2695.79400757 2170.78683685 2170.63237711 3566.9513306 2346.64316137 3439.86591495 2920.53697763 2395.93599199 2752.89632841 2483.32524345
KIDS_134p0_0p5 2690.21602925 2328.18332779 2327.90444286 3579.96773705 2587.66568102 3502.63363359 2992.30830449 2632.35845602 2846.75329816 2503.83638167
KIDS_134p0_1p5 2754.58611179 2418.70319385 2418.57642798 3559.1817465 2588.51426819 3431.09185918 3086.16536329 2699.17296371 2760.07220553 2522.00571595
KIDS_134p0_m0p5 2885.23697508 2517.61230207 2517.38229166 3580.01061992 2702.39929196 3442.40843258 3077.93592374 2765.93598906 2970.40035009 2697.96309698
KIDS_134p0_m1p5 2969.36530959 2494.31828082 2494.09166694 3559.07884543 2645.7111705 3471.38746758 3127.14588904 2689.85992718 2987.97609188 2761.0378142
KIDS_134p4_2p5 2591.32780909 2319.42116626 2319.25395997 3566.95285713 2616.26820929 3435.08920126 3066.85103994 2693.52348002 2908.51000649 2468.99659076
KIDS_135p0_0p5 2900.21530764 2467.56395193 2467.38417718 3579.96773705 2643.76246162 3486.57905685 3185.04368642 2689.92645859 2947.8137244 2703.07843393
KIDS_135p0_1p5 2735.96949051 2366.41388002 2366.27149262 3559.1817465 2591.30894369 3442.83979274 3010.55022543 2642.68706975 2895.0330322 2566.47389974
KIDS_135p0_m0p5 2832.2151415 2316.3634309 2315.83809989 3579.65531928 2470.513596 3376.84560592 3069.6059238 2518.56901869 2949.20496873 2650.84248516
KIDS_135p0_m1p5 2884.24531357 2301.41005716 2301.22976085 3559.07884543 2439.32017172 3436.14827194 3010.99075752 2487.52046242 2830.81154496 2583.70863942
KIDS_135p4_2p5 2833.01499409 2444.33064854 2444.13558302 3566.95420557 2627.9858666 3332.45442302 3065.90251572 2680.46127757 2990.75337761 2705.64125445
KIDS_136p0_0p5 3022.41147865 2507.79721416 2507.49992179 3579.96773705 2646.41673421 3475.48746903 3235.85368765 2749.94902502 3045.64029149 2790.11004406
KIDS_136p0_1p5 2714.99450241 2384.71057807 2384.53390728 3559.1817465 2594.33315892 3461.42519641 3043.45821382 2609.99308862 2839.5319558 2570.4391719
KIDS_136p0_m0p5 2875.85451944 2409.66972918 2409.2857806 3579.77137398 2647.33584722 3521.88239233 3119.58191626 2712.85663061 3051.31576441 2702.68317628
KIDS_136p0_m1p5 2901.71646238 2377.42872138 2377.16374063 3559.07884543 2576.42403497 3468.51197486 3124.37774978 2672.31902851 2978.1511451 2695.64503064
KIDS_136p4_2p5 2865.45380245 2550.43138261 2550.2638583 3566.95660986 2708.20042401 3418.21563937 3144.36911611 2763.50132101 3062.82091556 2701.69543287
KIDS_137p0_0p5 2969.61445255 2427.57782272 2427.32874337 3579.96773705 2569.82266868 3472.63075267 3216.04261763 2668.19759199 2885.89209959 2682.31217382
KIDS_137p0_1p5 2919.21676797 2558.77646978 2558.60132552 3559.1817465 2744.23083461 3500.00713118 3098.96685929 2796.74992987 3010.26335165 2723.11142373
KIDS_137p0_m0p5 3027.66953375 2567.86398645 2567.64935586 3580.01061992 2746.30381602 3462.21783613 3227.24242395 2784.03814315 3107.80285414 2856.66865387
KIDS_137p0_m1p5 2828.92187476 2402.12759856 2401.92822058 3559.07884543 2562.59342651 3422.81611478 3085.76487726 2610.92143716 2918.51228555 2668.22893681
KIDS_137p4_2p5 2979.46372209 2567.07797443 2566.91647992 3566.95346775 2752.74562141 3469.4174254 3285.82502419 2811.39367177 3032.62799395 2738.34321172
KIDS_138p0_0p5 3038.24054826 2561.43935457 2561.15664059 3579.96773705 2708.6481308 3492.03173223 3186.02055327 2753.2555726 3097.49426344 2849.5328101
KIDS_138p0_1p5 2738.75570647 2390.03449036 2389.88873187 3559.1817465 2622.73405757 3389.24391901 3005.09673591 2662.85670974 2918.22215517 2564.89269105
KIDS_138p0_m0p5 2902.1066443 2531.20913467 2530.96192531 3580.01061992 2686.54490734 3512.62849625 3088.59088486 2726.83926907 2978.20191506 2736.25361653
KIDS_138p0_m1p5 2935.60800893 2492.30270978 2492.00752912 3559.07884543 2666.51208291 3431.63849805 3142.2739618 2703.93180423 3079.31080873 2789.18541009
KIDS_138p4_2p5 2779.92945318 2164.82707253 2164.70642551 3566.95143237 2332.28184086 3118.73874829 2974.34909752 2675.23938859 2951.19522476 2369.60888889
KIDS_139p0_0p5 2943.62859327 2524.70905387 2524.43034704 3579.96378079 2728.41831518 3453.37464113 3207.31836502 2786.33189945 3012.3635308 2732.07363746
KIDS_139p0_1p5 2870.40833183 2500.69221908 2500.52325728 3559.1817465 2670.7710092 3423.4348442 3145.98006676 2724.26954099 2988.18536688 2684.65229857
KIDS_139p0_m0p5 2778.94971136 2394.50775466 2394.27479295 3580.00358514 2645.08033059 3458.0768091 3101.37090762 2677.96217709 2929.02300199 2612.43985445
KIDS_139p0_m1p5 2791.69961053 2472.43611211 2472.16709877 3559.07884543 2669.01357495 3403.02350309 3062.4576515 2715.54943545 2969.32852013 2630.49514397
KIDS_139p4_2p5 3058.13716775 2722.24984831 2722.11776501 3566.95309883 2877.99110641 3517.75449349 3217.61829264 2915.39822111 3178.67108388 2923.48775388
KIDS_13p1_m33p1 3331.12149225 3088.96748064 3088.67732481 3542.09095892 3194.96047961 3524.69357983 3461.67966952 3216.76382832 3364.37249269 3223.70857556
KIDS_13p2_m34p1 3126.08713639 2951.22190093 2950.97050633 3536.6639293 3153.71959088 3498.81755463 3338.05954819 3177.47014736 3293.19834567 3056.55449613
